time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-31T22:36:21.401Z,63.5109,-147.8159,0.9,0.9,ml,,,,0.33,ak,ak17134071,2017-11-03T10:14:43.093Z,"58km ENE of Cantwell, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-10-31T22:32:16.860Z,-21.7237,168.9834,10,4.2,mb,,202,0.919,0.75,us,us2000bkza,2018-01-24T01:25:02.040Z,"115km E of Tadine, New Caledonia",earthquake,4.4,1.9,0.236,5,reviewed,us,us
2017-10-31T22:29:50.970Z,40.6581667,-121.828,12.62,1.59,md,14,68,0.09318,0.13,nc,nc72916826,2017-10-31T23:37:02.213Z,"19km NNE of Shingletown, California",earthquake,0.53,0.93,0.206,14,reviewed,nc,nc
2017-10-31T22:29:04.810Z,-21.7413,168.8779,9,4.7,mb,,92,0.83,0.46,us,us1000azez,2018-01-24T01:25:02.040Z,"105km ESE of Tadine, New Caledonia",earthquake,3.6,4.4,0.104,28,reviewed,us,us
2017-10-31T22:25:52.160Z,-60.0608,-26.6715,10,5.3,mb,,33,15.023,0.83,us,us1000azey,2018-01-24T01:25:02.040Z,"114km S of Bristol Island, South Sandwich Islands",earthquake,8.5,1.7,0.063,86,reviewed,us,us
2017-10-31T21:43:42.231Z,63.1485,-151.3034,9,0.9,ml,,,,0.47,ak,ak17134040,2017-11-03T10:14:42.709Z,"110km NNW of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-10-31T21:36:48.190Z,35.7643333,-117.6935,10.61,0.75,ml,14,104,0.07291,0.14,ci,ci38034256,2017-11-09T22:57:36.429Z,"16km N of Ridgecrest, CA",earthquake,0.26,0.49,0.149,10,reviewed,ci,ci
2017-10-31T21:30:26.140Z,-21.7749,168.9654,10,4.2,mb,,218,0.917,0.21,us,us2000bl02,2018-01-24T01:25:02.040Z,"114km ESE of Tadine, New Caledonia",earthquake,3,1.9,0.237,5,reviewed,us,us
2017-10-31T21:29:53.052Z,62.1833,-145.5005,24.9,1.4,ml,,,,0.4,ak,ak17133470,2017-11-03T10:14:42.283Z,"8km NNE of Glennallen, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2017-10-31T21:26:35.260Z,-6.4926,128.5395,309.19,4.3,mb,,72,3.112,0.48,us,us2000bkz9,2018-01-24T01:25:02.040Z,"Banda Sea",earthquake,9.8,7.4,0.16,11,reviewed,us,us
2017-10-31T21:26:29.009Z,60.4904,-152.3766,12.5,0.9,ml,,,,0.63,ak,ak17133469,2017-11-03T10:14:41.881Z,"20km E of Redoubt Volcano, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2017-10-31T21:19:18.394Z,53.165,-166.1259,25.1,2,ml,,,,0.27,ak,ak17133465,2017-10-31T23:06:28.600Z,"83km SSE of Unalaska, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2017-10-31T21:15:09.070Z,49.4481667,-120.2848333,-0.06,2.14,ml,5,325,1.221,0.36,uw,uw61324362,2017-11-01T17:51:10.850Z,"16km E of Princeton, Canada",explosion,5.46,31.61,0.131,5,reviewed,uw,uw
2017-10-31T21:13:45.161Z,61.4797,-151.2348,4,1.4,ml,,,,0.49,ak,ak17133461,2017-11-03T10:14:41.428Z,"68km W of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-10-31T21:10:14.410Z,-15.3141,-173.0713,10,5,mb,,85,1.876,0.88,us,us1000azcz,2018-01-24T01:25:02.040Z,"101km NE of Hihifo, Tonga",earthquake,3.6,1.8,0.073,60,reviewed,us,us
2017-10-31T21:09:44.730Z,-21.6982,168.8933,15.24,4.8,mb,,105,0.831,0.87,us,us2000bkz7,2018-01-24T01:25:02.040Z,"105km E of Tadine, New Caledonia",earthquake,3.7,4.3,0.1,31,reviewed,us,us
2017-10-31T21:07:10.123Z,59.4247,-146.9225,24.7,2.8,ml,,,,0.54,ak,ak17133450,2018-01-24T01:25:02.040Z,"33km W of Middleton Island, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-10-31T21:03:10.460Z,40.618,-125.0846667,19.51,2.9,md,20,269,0.5869,0.16,nc,nc72916796,2017-11-02T22:50:02.229Z,"69km W of Ferndale, California",earthquake,2.21,5,0.161,40,reviewed,nc,nc
2017-10-31T21:02:49.540Z,37.6493333,-118.8216667,4.04,0.66,md,12,90,0.016,0.04,nc,nc72916801,2017-10-31T21:54:03.029Z,"13km E of Mammoth Lakes, California",earthquake,0.34,0.68,0.265,11,reviewed,nc,nc
2017-10-31T20:58:59.230Z,37.6015,-118.8211667,3.47,0.75,md,20,80,0.01308,0.04,nc,nc72916791,2017-10-31T21:44:03.016Z,"14km ESE of Mammoth Lakes, California",earthquake,0.33,0.36,0.152,16,reviewed,nc,nc
2017-10-31T20:57:58.922Z,63.3021,-151.1107,9.1,1.1,ml,,,,0.42,ak,ak17133446,2017-11-03T10:14:40.437Z,"108km W of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-10-31T20:54:11.683Z,38.4035,-118.8926,9.3,0.5,ml,7,169.63,0.34,0.0972,nn,nn00611084,2017-10-31T23:49:43.499Z,"26km WSW of Hawthorne, Nevada",earthquake,,15.6,0.25,3,reviewed,nn,nn
2017-10-31T20:51:12.440Z,52.1028,-173.3234,63.16,4,mb,,188,0.507,1.23,us,us2000bhms,2018-01-24T01:25:02.040Z,"60km E of Atka, Alaska",earthquake,8.9,10.4,0.063,66,reviewed,us,us
2017-10-31T20:49:13.296Z,38.3982,-118.9181,0,0.5,ml,4,283.08,0.352,0.0999,nn,nn00611083,2017-10-31T23:46:30.421Z,"29km WSW of Hawthorne, Nevada",earthquake,,0,0.16,2,reviewed,nn,nn
2017-10-31T20:47:34.050Z,43.631,-123.3173333,-0.48,1.14,ml,5,140,0.0658,0.07,uw,uw61324337,2017-11-01T17:48:33.130Z,"3km S of Drain, Oregon",explosion,0.67,31.61,0.22,2,reviewed,uw,uw
2017-10-31T20:44:06.431Z,35.9432,-116.9431,7.8,0.6,ml,7,288.12,0.064,0.127,nn,nn00611082,2017-10-31T23:40:18.184Z,"45km ENE of Searles Valley, California",earthquake,,2.3,0.16,3,reviewed,nn,nn
2017-10-31T20:40:41.110Z,35.2836667,-118.5651667,7.5,2.05,ml,49,65,0.114,0.12,ci,ci38034216,2017-11-01T01:09:01.271Z,"20km NNW of Tehachapi, CA",earthquake,0.14,0.43,0.185,24,reviewed,ci,ci
2017-10-31T20:29:32.870Z,38.1063333,-122.1811667,-0.02,1.18,md,12,182,0.05318,0.08,nc,nc72916766,2017-11-01T00:48:12.424Z,"6km E of Vallejo, California",quarry blast,0.66,31.61,0.187,9,reviewed,nc,nc
2017-10-31T20:25:41.620Z,33.506,-116.7948333,4.93,0.61,ml,33,43,0.07628,0.13,ci,ci38034200,2017-10-31T20:39:31.747Z,"10km NE of Aguanga, CA",earthquake,0.16,0.72,0.096,18,reviewed,ci,ci
2017-10-31T20:24:17.120Z,37.5591667,-121.6963333,3.42,1.31,md,21,54,0.07917,0.06,nc,nc72916761,2017-11-03T01:02:03.452Z,"15km SSE of Livermore, California",earthquake,0.23,0.63,0.187,21,reviewed,nc,nc
2017-10-31T20:23:17.640Z,37.9746667,-118.6653333,7.82,1.79,md,28,116,0.1161,0.06,nc,nc72916756,2017-11-07T08:28:03.839Z,"45km NE of Mammoth Lakes, California",earthquake,0.31,1.6,0.16,26,reviewed,nc,nc
2017-10-31T20:22:44.090Z,-21.7874,168.9881,6.35,4.9,mb,,93,0.941,0.59,us,us1000azbm,2018-01-24T01:25:02.040Z,"117km ESE of Tadine, New Caledonia",earthquake,5.1,4.1,0.071,62,reviewed,us,us
2017-10-31T20:19:55.050Z,37.9733333,-118.6653333,7.66,1.55,md,26,116,0.1172,0.06,nc,nc72916751,2017-11-01T04:06:01.480Z,"45km NE of Mammoth Lakes, California",earthquake,0.23,1.02,0.207,24,reviewed,nc,nc
2017-10-31T20:05:15.121Z,62.3179,-152.3766,128.7,1.5,ml,,,,0.4,ak,ak17158651,2017-11-03T10:14:39.616Z,"117km W of Talkeetna, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-10-31T20:03:48.160Z,-21.5992,168.8717,10,4.6,mb,,146,0.792,0.95,us,us2000bkz5,2018-01-24T01:25:02.040Z,"102km E of Tadine, New Caledonia",earthquake,5.2,1.7,0.133,17,reviewed,us,us
